Update needed in DBASE,"Type of Update (Birth, Death, Weaning, Sex)",MaternalHaplotypes,MaternalForagingType,Primary Location,MomName,MomID,CalfName,CalfID,SurviveTo3,WeaningAgeKnown,IBI,WeanToSurvivingcalfInterval,WeantoSurvivingCalfCensored,"First,Early,InBetween,Last,Unknown (FENLU)",LastSurvivingCalf,GrandmaKnown,LastSightingCalf,LastSightingMother,Obs1Calf,Obs1Mom,AssignedBDay,45104,BDayAccuracy,PrimaryBdayEstimateReason,SecondaryBdayEstimateReason,WhoAssignedBDay,MotherLastSeenBeforeCalfBirth,Interval between mothers last sighting,Calf's age at first sight,Obs2,FirstCalfSight,NotesCalfSizeBehavior,Obs3,CalfLastBP,Obs4,MumLastWLiveCalf,Obs5,MumWOCalf,Obs6,DeathDate,DeathAgeYrs,GapSightings,GapSightingsDivide2,DeathDateAccuracy,DeathDateReason1,DeathDateReason2,DeathNotes,WhoDetermineDeathDate,WeaningDateAccuracy,WeanDateReason1,WeaningDateReason2,WhoDetermineWeanDate,LastWMum80%Surveys,NotBPorWOMum50%Surveys,,WeaningDate,WeaningAgeDays,WeaningAgeMonths,WeaningAgeYears,WeanNotes,DoWStatus,Shae/EKWeaningDateNotes2010,ShaeMatrilinesNotesAug2012,CBKMatrilinesNotes2013
N,,,S,EAST,SALVADOR,SVD,CALVADOS,CVO,y,y,,,,u,,,,,,,01/02/2010,13,WeekEstimate,InfantFirstSight,,JM,12-Jul-08,1.82,0.26,EK,6-May-10,"yoy, looks 3 months old",JM,20-Oct-12,,,,,,,,,,,,,,,MonthEstimate,Midpoint,,JM,26-Aug-13,,,27-Mar-13,1150,37.70491803,3.142076503,,,,,
N,,D,N,RED CLIFF BAY,TAB,TAB,BATBABY,BAT,n,d,,,,l,,,20-Jun-89,24-Jul-99,JM,CF,01/11/1988,35,MonthEstimate,SpringSummerYoy,,JM,1-May-87,1.97,0.47,,21-Apr-89,yoy (photo JM),RCC,,,20-Jun-89,JM,28-May-90,JM,08/12/1989,1.101,342,171,MonthEstimate,DeadPreWeaning,,,JM,,,,,,,,,,,,,,,,
N,,A ,N,EAST,TAFFY,TAF,TOOTSIE,TTS,y,y,5.005479452,0.663013699,n,f,,,,,,,01/11/1999,24,MonthEstimate,SpringSummerYoy,,JM,12-Nov-96,3.59,0.63,KH,17-Jun-00,Yoy,JJW,11-Oct-03,RCC,11-Oct-03,RCC,27-Jul-04,RCC,,,290,145,,,,,,MonthEstimate,Midpoint,SiblingBirth,JM,11-Oct-03,27-Jul-04,290,4-Mar-04,1585,51.96721311,4.330601093,midpoint,,,,
N,,A ,N,EAST,TAFFY,TAF,TIMTAM,TIM,y,y,,,,n,,,,,,,01/11/2004,19,MonthEstimate,SpringSummerYoy,,JM,8-Oct-04,0.73,0.67,AKC,2-Jul-05,Yoy,JM,29-Jul-08,EK,29-Jul-08,EK,4-Aug-09,YJT,,,,,,,,,,MonthEstimate,Midpoint,,JM,29-Jul-08,4-Aug-09,371,30-Jan-09,1551.5,50.86885246,4.239071038,,,,,
N,,A ,N,EAST,TAFFY,TAF,TOFFEE,TOF,y,y,,,,,,,,,,,01/11/2010,13,MonthEstimate,SpringSummerYoy,,RCC,8-May-10,1.19,0.7,EMP,16-Jul-11,no age info,RCC,28-Nov-13,MMW,,,,,,,,,,,,,,WeekEstimate,Midpoint,,JM,29-Apr-15,3-Jun-15,35,16-May-15,1657.5,54.3442623,4.528688525,,,,,
N,,A ,N,EAST,TAFFY,TAF,LICORICE,LCC,still alive,,,,,,,,,,,,01/11/2020,3,MonthEstimate,SpringSummerYoy,,VF JM,9-Oct-19,2.77,1.7,MHM,15-Jul-22,"Mom last seen 9-Oct-19. Calf first seen 15-Jul-22, estimated about 1.5 years, very evasive. ",VF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,,  ,N,PERON,TAI,TAI,CHI,CII,y,y,4.169863014,,,n,,,,,,,01/11/2000,23,MonthEstimate,SpringSummerYoy,,JM,24-Aug-99,3.92,2.73,MK,26-Jul-03,MK might have 1999 sighting of TAI - need to check. BLS might have records on CII size.,JM,,,21-Aug-04,MK,1-Nov-04,DDD,,,72,36,,,,,,MonthEstimate,Midpoint,SiblingBirth,JM,21-Aug-04,1-Nov-04,72,26-Sep-04,1425,46.72131148,3.893442623,"y. midpoint; 1st time saw cii was in 2004 and then saw it 21-Aug-04, nearly a year later, 9-Jul-05 later tai was seen with a new calf, so presuming CII was weaned as seen on 10-Jul-05",,,,
N,,  ,N,PERON,TAI,TAI,KWONDO,KWO,n,d,2.747945205,,,n,,,9-Jul-05,,JM,,01/01/2005,18,MonthEstimate,SpringSummerYoy,,JM,21-Aug-04,0.88,0.52,MK,9-Jul-05,~4-6 mos old,JM,9-Jul-05,JM,9-Jul-05,JM,24-Jun-08,JM,03/01/2006,1.006,,,MonthEstimate,SiblingBirth,,,JM,,,,,,,,,,,,,,,,
N,,  ,N,PERON,TAI,TAI,JITSU,JIT,y,n,,,,l,y,,,24-Jun-08,,EK YJT EMP,01/10/2007,16,MonthEstimate,InfantFirstSight,,JM,9-Jul-05,2.96,0.73,JM,24-Jun-08,yoy ~9 months old,JM,24-Jun-08,EK YJT EMP,,,,,,,,,,,,,,YearEstimate,DefaultDate,Gap,JM,24-Jun-08,5-Aug-09,407,1-May-11,1308,42.8852459,3.573770492,assuming that JIT was on a separation in 2009 and weaned sometime in 2011 before June sighting,,,,
N,,H ,N,EAST,TALLADEGA,TAL,TRINITY,TNI,n,d,,,,e,,,4-Aug-09,,EK YJT EMP,,24/02/2008,15,DayEstimate,InfantFirstSight,,JM,12-Jun-07,0.71,0.01,JM,26-Feb-08,see infant first sight,CCC,4-Aug-09,EK YJT EMP,4-Aug-09,EK YJT EMP,3-Jun-10,EMP,02/01/2010,1.859,303,152,MonthEstimate,Midpoint,,TAL sighted without TNI 3-Jun-10; also TAL sighted in Dec 2010 and no sign of TNI in CCC photos,SAS,,,,,,,,,,,,,,,,
N,,H ,N,EAST,TALLADEGA,TAL,DAYTONA,DYT,n,d,,,,,,,,,,,17/11/2015,8,DayEstimate,InfantFirstSight,,JM EK,16-Jun-15,0.46,0.04,EK,2-Dec-15,"folds, lumpy, a little sunken at neck, normal surfacing, mostly synch with mum, mostly echelon, bp less than 1 min, predominantly echelon but did get to distance 2, nursing not seen",JM EK,2-Dec-15,EK JM,2-Dec-15,EK JM,20-Jun-16,JM,11/03/2016,0.316,201,101,MonthEstimate,DeadPreWeaning,,,,,,,,,,,,,,,,,,,
N,,H ,N,EAST,TALLADEGA,TAL,CHITTY CHITTY BANG BANG,CCB,still alive,,,,,,,,,,,,01/11/2021,2,MonthEstimate,SpringSummerYoy,,,18-Jul-19,2.76,0.47,VF,22-Apr-22,estimated 5-8 months old,JM MHM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,,A,N,EAST,TAMALE,TAM,CHILI,CHL,y,n,6.506849315,,,e,,,,,,,01/05/2000,23,YearEstimate,Gap,,JM,3-Nov-99,1.8,1.31,JM,23-Aug-01,No size information,RCC,11-Oct-03,RCC,11-Oct-03,RCC,16-Jun-04,BLS,,,249,125,,,,,,YearEstimate,BirthdateUncertain,Midpoint,JM,11-Oct-03,16-Jun-04,249,12-Feb-04,1382.5,45.32786885,3.777322404,midpoint,,,,
N,,A,N,EAST,TAMALE,TAM,ENCHILADA,ENC,y,y,,,,n,,,,,,,01/11/2006,17,MonthEstimate,SpringSummerYoy,,JM,19-Jun-06,1.05,0.68,EK,7-Jul-07,hard to see but pretty sure her calf though not seen in bp and def a yoy,EK,20-May-10,EMP,,,,,,,,,,,,,,MonthEstimate,Midpoint,,JM,20-May-10,9-Oct-10,142,30-Jul-10,1367,44.81967213,3.734972678,midpoint,,,,
N,,A,N,EAST,TAMALE,TAM,PEPPER,PPR,y,y,,,,,,,,,,,15/10/2010,13,MonthEstimate,SpringSummerYoy,,EK,9-Oct-10,0.77,0.75,EK,16-Jul-11,"13-Sep-11 EK said ""older yoy nearly 1 year old - no fetal lines or stripes, weight normal, in bp""",RCC,24-Jul-13,MMW,,,,,,,,,,,,,,MonthEstimate,Midpoint,,JM,24-Jul-13,2-Jun-15,678,28-Jun-14,1352,44.32786885,3.693989071,,,,,
N,,  ,N,NORTH OF HERALD BIGHT,TAP,TAP,SWING,SWN,y,n,,,,u,,,,12-Nov-09,,JM,01/11/1998,25,YearEstimate,MotherFirstSightWithCalf,,JM,,,2.75,,3-Aug-01,check film; Assume calf nearly 3 since Tap herded at 1st sight,RCC,,,3-Aug-01,RCC,17-Sep-02,FB,,,410,205,,,,,,YearEstimate,BirthdateUncertain,Midpoint,JM,3-Aug-01,17-Sep-02,410,24-Feb-02,1211,39.70491803,3.308743169,"y, midpoint; RCC has photos: 03-Aug-01 - check for better age estimate",,,,
N,,E,N,RED CLIFF BAY,TATTERS,TAT,TITTERS,TIT,n,d,2.084931507,,,f,,,1-Nov-92,15-May-94,AFR,JM,01/10/1992,31,WeekEstimate,InfantFirstSight,,AFR,26-Jun-92,0.34,0.08,JM,30-Oct-92,a few wks old,AFR,,,1-Nov-92,AFR,22-Jan-93,AFR,12/12/1992,0.197,82,41,MonthEstimate,Midpoint,,,JM,,,,,,,,,,,,,,,,
N,,E,N,RED CLIFF BAY,TATTERS,TAT,FETUS,FET,n,d,,,,l,,,,15-May-94,,JM,01/11/1994,29,MonthEstimate,Pregnancy,,RCC,15-May-94,0.25,-0.21,JM,15-Aug-94,Tatters dead with fetus in 1994; NEED DEATH DATE CHECKED-1st sight of fetus is death date also.,RCC,,,,,,,04/06/1994,-0.411,,,DayEstimate,DeadBody,,TAT found dead with FET 5-Jun-94 by RCC,RCC,,,,,,,,,,,,,,,,
N,,E ,N,WHALE BIGHT,TAWNY,TAW,OWL,OWL,y,y,,,,f,,,,,,,19/10/2011,12,DayEstimate,InfantFirstSight,,EK,15-Sep-11,0.12,0.02,EK,28-Oct-11,"calf looked to be same age as MOU's calf MGC so bday 17-21-Oct. Had folds and was lumpy, df erect, sunken at neck, chin-slapping, synchronous with mom, mostly ech, few by eye, bp nopt noted, not touring with another, stayed in ech pretty much the whole time",EK,18-Jul-15,CBK,,,,,,,,,,,,,,DayEstimate,Midpoint,,JM,18-Jul-15,21-Jul-15,3,19-Jul-15,1369,44.8852459,3.740437158,bp by photo during BAD follow,,,,
N,,E ,N,WHALE BIGHT,TAWNY,TAW,ALUCO,ALU,y,y,,,,,,,,,,,01/11/2015,8,MonthEstimate,InfantFirstSight,,JM,18-Aug-15,0.44,0.24,JM,26-Jan-16,"based on photo looks about 3 months, fat and healthy, no visible fetal lines though possible scratches",CCC,8-Aug-18,TCC,,,,,,,,,,,,,,MonthEstimate,Midpoint,,JM,8-Aug-18,14-May-19,279,25-Dec-18,1150.5,37.72131148,3.143442623,ALU with TAW during survey but >1hr separation later that day.,,,,
N,,E ,N,WHALE BIGHT,TAWNY,TAW,FROGMOUTH,FGM,still alive,,,,,,,,,,,,01/05/2022,1,WeekEstimate,InfantFirstSight,,,21-Apr-22,0.1,0.07,JM MHM,28-May-22,"about 6 weeks, short bp bouts, fetal lines",VF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,,D ,B,PERON,TUBA,TBA,SQUAT,SQA,y,y,,,,u,,,,,,,01/11/1996,26.7,MonthEstimate,SpringSummerYoy,,EK JM,25-Mar-96,0.8,0.19,PB,11-Jan-97,no mention of size. 10-Sep-99 MK calf in bp looks to be 2 yrs old possibly older,PB,20-Oct-99,MK,,,,,,,,,,,,,,YearEstimate,Midpoint,,EK,20-Oct-99,26-Jun-02,980,21-Feb-02,1938,63.54098361,5.295081967,,,,,
N,,  ,N,HERALD BIGHT,TEMPEST,TEM,TEAPOT,TEA,u,n,,,,u,,,10-Aug-01,10-Aug-01,RCC,RCC,01/11/2000,23,YearEstimate,Gap,,JM,12-Sep-99,1.91,0.77,MK,10-Aug-01,check film; B-day inaccurate; No size information,RCC,,,10-Aug-01,RCC,,,01/05/2002,,,,YearEstimate,UncertainSurvivalStatusPreWeaning,MotherCalfNotSightedSince,,,,,,,,,,,,,,,,Only sighting of TEM and TEA is 10-Aug-01 but bp wasn't noted,,
N,,  ,N,RED CLIFF BAY,TANGO,TGO,ZOTTO,ZTT,u,n,,,,u,,,10-Apr-93,10-Apr-94,AFR,JM,01/11/1992,31,YearEstimate,Gap,,JM,11-May-88,4.91,0.44,RAS,10-Apr-93,no notes,AFR,,,10-Apr-93,AFR,9-Sep-93,AS,25/06/1993,0.647,152,76,Unknown,Midpoint,,,,,,,,,,,,,,,,,ZTT isn't in surveys,,
N,,,N,PERON,THUMBALINA,THU,TOM THUMB,TOM,y,n,15.00821918,,,u,,,3-Aug-01,,JM,,01/11/1996,27,YearEstimate,MotherFirstSightWithCalf,,JM,,,2.86,,13-Sep-99,"has cookie-like pd shark bite, about 4 years old; THU sighted 26-Jun-02 without calf",MK,3-Aug-01,JM,3-Aug-01,JM,26-Jun-02,JM,,,,,Unknown,NotSightedPostWeaning,,,EK,MonthEstimate,Midpoint,,SAS,3-Aug-01,26-Jun-02,327,13-Jan-02,1899.5,62.27868852,5.18989071,,,,,
N,,,N,PERON,THUMBALINA,THU,CORNELIUS,CRL,u,u,,,,,,,,,,,01/11/2011,11.7,MonthEstimate,SpringSummerYoy,,EK JM,11-Aug-05,6.9,0.68,RCC,7-Jul-12,yoy,JM EK,16-Nov-13,EK,,,11-Jun-15,JM,,,,,Unknown,RarelySighted,,JM EK checked again cannot add more info for death or weaning date,JM EK,MonthEstimate,Reduced MC Association,StoppedSightingPostWeaning,EK JM,16-Nov-13,11-Jun-15,572,29-Aug-14,1032,33.83606557,2.819672131,,,,,
N,,,N,PERON,THUMBALINA,THU,BEANSTALK,BEN,still alive,,,,,,,,,,,,01/05/2018,5,WeekEstimate,InfantFirstSight,,JM EK,11-Jun-15,3.02,0.13,MLM CBK,17-Jun-18,"looks 2 months, fetal lines ~6 weeks",JM EK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,,  ,N,WHALE BIGHT,TIPLESS,TIP,TOPLESS,TOP,n,d,,,,l,,,15-May-94,8-Jan-98,,CFKW,01/11/1992,31,MonthEstimate,SpringSummerYoy,,JM,11-Oct-91,1.45,0.39,JM,22-Mar-93,calf looks healthy but no notes on size; yoy (JM); AFR saw in March,AFR,,,15-May-94,JM,7-Jun-94,RCC,26/05/1994,1.566,23,12,WeekEstimate,DeadPreWeaning,,,JM,,,,,,,,,,,,,,,,
N,,,N,PERON,TOURMALINE,TML,PERIDOT,PDO,u,n,,,,u,,,,,,,01/11/2001,21.7,MonthEstimate,MotherFirstSightWithCalf,,RCC,,,0.79,,18-Aug-02,yoy,RCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,B,A,N,HERALD BIGHT,TOGA,TOG,LEDERHOSEN,LDR,still alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,,A,N,RED CLIFF BAY,TONGUE,TON,LICK,LIC,y,n,,,,l,y,,,17-Aug-95,,RCC,01/11/1984,39,YearEstimate,MotherFirstSightWithCalf,,RAS,,,0.56,,23-May-85,,RAS,26-Jun-92,JM,17-Jul-92,JM,24-Jul-92,JM,,,7,4,,,,,,YearEstimate,BirthdateUncertain,Midpoint,JM,17-Jul-92,24-Jul-93,372,19-Jan-93,3001,98.39344262,8.199453552,y by mdpt-check 92 follows for Lick in BP; nursing 22-nov-91,,,,
N,,E ,S,EAST,TORRENT,TOR,TORNADO,TDO,y,y,,,,u,,,,,,,01/11/2002,21,MonthEstimate,InfantFirstSight,,SAS,27-Sep-01,2.03,0.93,RCC,7-Oct-03,no age info but mom with males 27-Sep-01,RCC,24-Sep-04,MK,,,,,,,,,,,,,,MonthEstimate,Reduced MC Association,,SAS,31-Jul-05,14-Sep-06,410,21-Feb-06,1208,39.60655738,3.300546448,,,,,
N,,E ,S,EAST,TORRENT,TOR,MONSOON,MNS,y,y,,,,n,,,,,,,01/11/2009,14,YearEstimate,Gap,,JM,4-Jun-07,4.07,1.66,EK MAS,29-Jun-11,"about 2 years old, bigger than MGU",JM,12-Jun-13,,,,,,,,,,,,,,,WeekEstimate,Midpoint,,JM,9-Jul-13,9-Nov-13,123,25-Jun-13,1332,43.67213115,3.639344262,,,,,
N,,E ,S,EAST,TORRENT,TOR,BLIZZARD,BZD,y,y,,,,,,,,,,,01/11/2013,10,MonthEstimate,SpringSummerYoy,,JM,19-Sep-13,0.83,0.71,MMW,18-Jul-14,looks like a yoy (JM during KOK follow),JM,1-Jun-17,EK,,,26-Aug-18,TCC,,,,,,,,,,WeekEstimate,Reduced MC Association,,EK,1-Jun-17,22-Jun-17,21,11-Jun-17,1318.5,43.2295082,3.602459016,Last with mom 1Jun17 not with mom on 22Jun17,,,,
Y,W,E ,S,EAST,TORRENT,TOR,STORMY,STY,y,,,,,,,,,,,,06/12/2018,,WeekEstimate,InfantFirstSight,,EK,26-Aug-18,0.3,0.02,TCC,13-Dec-18,"fetal lines, df erect, in ech, looks healthy, looks older than ASN's",DIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,,A,N,NORTH OF EAST,TREETRUNX,TRE,ROOTS,ROO,y,y,,,,n,y,,8-Sep-01,27-Sep-01,,RCHS,01/11/1994,29,MonthEstimate,SpringSummerYoy,,RCC,17-Sep-94,1.84,1.72,RCC,20-Jul-96,estimated 2 yrs. old,RCC,17-May-98,MRH,,,,,,,,,,,,,,WeekEstimate,Midpoint,,JM,17-May-98,18-Jul-98,62,17-Jun-98,1324,43.40983607,3.617486339,y midpoint based on last BP (survey) and then TRE alone- together off and on after (surveys),,,,
N,,A,N,NORTH OF EAST,TREETRUNX,TRE,MORRIS,MOR,n,d,9.871232877,,,n,,,31-May-90,27-Sep-01,JM,RCHS,20/12/1988,35,WeekEstimate,InfantFirstSight,,RCC,22-Jul-88,0.58,0.17,RCC,20-Feb-89,"big, ~2 mo.",RCC,29-Mar-90,JM,31-May-90,JM,7-Jun-90,JM,03/06/1990,1.453,7,4,DayEstimate,Midpoint,,,JM,,,,,,,,,,,,,,,,
N,,A,N,NORTH OF EAST,TREETRUNX,TRE,STUMPY,STM,n,d,2.536986301,,,n,,,4-Nov-99,27-Sep-01,,RCHS,01/11/1998,25,MonthEstimate,InfantFirstSight,,MRH,23-Aug-98,0.47,0.28,MRH,12-Feb-99,"estimated a few mos old, no fetal folds - smooth; normal surfacings; 31-60sec = longest BP",MRH,,,4-Nov-99,JM,6-Jul-00,LAB,05/03/2000,1.344,245,123,MonthEstimate,Midpoint,,,JM,,,,,,,,,,,,,,,,
N,,A,N,NORTH OF EAST,TREETRUNX,TRE,LOGGY,LOG,n,d,,,,l,,,27-Sep-01,27-Sep-01,,RCHS,15/05/2001,22,WeekEstimate,InfantFirstSight,,JM,27-Sep-00,0.71,0.08,RW,15-Jun-01,"tiny with fetal lines, no more than 6 wks.swimming in ech",JM,,,27-Sep-01,rchs,,,01/05/2002,0.962,,,MonthEstimate,DefaultDate,,TRE LOG not seen since 27-sep-01,JM,,,,,,,,,,,,TRE LOG not seen since 27-sep-01,,,,
N,,,,WHALE BIGHT,TURK,TRK,IRONMAN,IRO,y,n,,,,u,,,,,,,01/11/1997,26,YearEstimate,SpringSummerYoy,,EK,,,2,,3-Nov-99,"in bp, estimated 2 yrs old",JM,3-Nov-99,JM,,,,,,,,,,,,,,YearEstimate,DefaultDate,,EK,3-Nov-99,20-Aug-02,1021,1-May-01,1277,41.86885246,3.489071038,TRK not seen again but could have changed as photo not great. IRO was seen in 2002 and was seen until 2005,,,,
N,,E,N,NORTH OF RED CLIFF BAY,TRYCKY,TRY,LITTLE,LIT,y,n,,,,u,,,,,,,01/11/1987,36,YearEstimate,Gap,,JM,15-Aug-86,1.76,0.54,RAS,18-May-88,old 88 surveys - no notes,RAS,7-Aug-93,JM,7-Aug-93,JM,8-Aug-93,JM,,,1,1,,,,,,YearEstimate,Midpoint,,JM,7-Aug-93,2-May-94,268,19-Dec-93,2240,73.44262295,6.120218579,midpoint; Lit was last BP during OYS follow,,,,
N,,E,N,NORTH OF RED CLIFF BAY,TRYCKY,TRY,DYCKY,DYC,n,d,,,,n,,,28-May-00,,JJW JM,,01/01/2000,24,WeekEstimate,InfantFirstSight,,EK JM,24-Jun-99,0.91,0.39,JM,23-May-00,"yoy - very small ~4-5 mo, calf bp smaller than GRM",JM,28-May-00,JM,28-May-00,JM,27-Sep-00,DOSBRF,28/07/2000,0.573,122,61,MonthEstimate,DeadPreWeaning,,TRY with males 27-Sep-00,EK,,,,,,,,,,,,,,,,
N,,E,N,NORTH OF RED CLIFF BAY,TRYCKY,TRY,BEANIE,BNI,y,y,,,,n,y,,,,,,15/02/2003,20,MonthEstimate,InfantFirstSight,,JM,24-Aug-02,0.64,0.16,JJW,16-Apr-03,STS=TRY has new very tiny calf; 3-Sep-03 JJW says BNI is yoy; JM checked photo and estimated about 5 mos,CF,26-Jul-07,EK,,,,,,,,,,,,,,WeekEstimate,Midpoint,,JM,5-Jul-08,24-Aug-08,50,30-Jul-08,1992,65.31147541,5.442622951,"with mom 5-Jul-08 but no BP, without mom 24-Aug-08",,,,
N,,E,N,NORTH OF RED CLIFF BAY,TRYCKY,TRY,QUICKIE,QCI,n,d,,,,l,,,,,,,01/04/2012,11,WeekEstimate,InfantFirstSight,,JM,4-Nov-11,0.57,0.16,EK,30-May-12,"JM description based on 30 sec video from Shotover: really emaciated calf, sunken in behind the head, wasn't in echelon or in baby position, couldn't be older than 2.5 mos, could see very faint fetal lines on the video- but the light and quality of the video was poor, surfacing normally (no chin ups), but didn't seem like it would be able to dive very well.",SHOTOVER,,,30-May-12,Shotover,2-Oct-12,EK,15/06/2012,0.205,125,63,MonthEstimate,DeadPreWeaning,,"Given calf's condition, could not have survived more than a few weeks.",,,,,,,,,,,,,,,,,
N,,A,S,PERON,TASTY,TST,EPICURE,EPC,y,n,,,,e,,,,,,,01/11/1990,33,YearEstimate,Assigned10Yrs,,EK,,,8.87,,13-Sep-99,aged based on SSSS and mothers age because mother found due to genetics,MK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,,A,S,PERON,TASTY,TST,TOOTHSOME,TSM,u,n,,,,n,,,10-Jul-05,,BS,,01/11/2003,20,YearEstimate,Gap,,JM,17-Aug-03,1.9,1.69,RCC,10-Jul-05,looks large in photos (JM),MK,10-Jul-05,BS,10-Jul-05,BS,23-Jun-11,EMP,,,,,Unknown,UncertainSurvivalStatusPreWeaning,Gap,Unsure whether TSM survived because of large gap in TST sightings. JM EK checked again cannot add more info for death or weaning date,JM EK,,,,,,,,,,,,,,,,
N,,A,S,PERON,TASTY,TST,VULCAN,VCN,y,n,,,,n,,,,,,,01/11/2006,17,MonthEstimate,Genetics,,EK,10-Jul-05,5.95,4.64,MK,23-Jun-11,"juvenile 7-10 yrs, 2013 MMW said juvie",EMP JM,,,,,,,,,,,,,,,,YearEstimate,SiblingBirth,,EK,,,,1-May-10,1277,41.86885246,3.489071038,could be 2010 or 2011 as gap in sightings,,,,
N,,A,S,PERON,TASTY,TST,CABOT,CBT,y,y,,,,,,,,,,,01/11/2011,12,MonthEstimate,SpringSummerYoy,,EK,20-Jul-11,0.97,0.68,JM EMP,7-Jul-12,yoy,EK,6-Aug-15,EK VF,,,,,,,,,,,,,,MonthEstimate,Reduced MC Association,,JM,6-Aug-15,30-Jun-17,694,18-Jul-16,1721,56.42622951,4.702185792,"TST not seen until 17-Jun-18, CBT seen in 2017 both not seen in 2016",,,,
Y,W,D,,RED CLIFF BAY,TANTRUM,TTM,HISSY FIT,HFT,y,,,,,,,,,,,,01/01/2019,4,MonthEstimate,InfantFirstSight,,JM,,,0.5,CCC,3-Jul-19,"first seen by CCC 9Apr19, HFT on separation from TTM in June",TCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,,,N,HERALD BIGHT,TITUS,TTU,ANDRONICUS,ADC,n,d,,,,,,,,,,,01/06/2001,22,WeekEstimate,InfantFirstSight,MotherFirstSightWithCalf,SAS,,,0.17,,3-Aug-01,"All calves were very young in group, may have had fetal lines",JM,,,3-Aug-01,JM,4-Oct-02,DFB,04/03/2002,0.758,427,214,MonthEstimate,DeadPreWeaning,Midpoint,,EK,,,,,,,,,,,,,,,,
Y,B D,A,N,RED CLIFF BAY,TUFF,TUF,TIDE,TDE,n,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,,E,N,WHALE BIGHT,TUK,TUK,AMOK,AMO,y,y,4.002739726,0.468493151,n,f,,y,,,,,01/11/1996,27,MonthEstimate,InfantFirstSight,,KH,8-Oct-96,0.34,0.28,KH,11-Feb-97,no fetal lines visible - smooth; chin-slap surfacings; brief BP,KH,21-May-00,JJW,21-May-00,JJW,6-Jul-00,JM,,,46,23,,,,,,WeekEstimate,Midpoint,,JM,21-May-00,7-May-00,-14,14-May-00,1290,42.29508197,3.524590164,y by mdpt; could be 12 or 13 at first birth (Tuk),,,,
N,,E,N,WHALE BIGHT,TUK,TUK,TAWNY,TAW,y,y,3.082191781,0.124657534,n,n,,,,,,,01/11/2000,23,MonthEstimate,SpringSummerYoy,,JM,23-Sep-00,0.76,0.65,RW,28-Jun-01,No size information,RCC,25-Aug-02,AKC,3-Sep-03,JJW,27-Sep-03,RCC,,,24,12,,,,,,WeekEstimate,Midpoint,,JM,12-Oct-03,21-Oct-03,9,16-Oct-03,1079.5,35.39344262,2.949453552,"n, within a month",,,,
N,,E,N,WHALE BIGHT,TUK,TUK,TAZZIE,TAZ,y,y,2.912328767,,,n,,,,,,,01/12/2003,20,MonthEstimate,SpringSummerYoy,,BLS,10-Nov-03,0.58,0.52,JJW,9-Jun-04,Yoy,BLS,9-Aug-07,MAS,9-Aug-07,MAS,6-Aug-08,EK,,,363,182,,,,,,,,,,9-Aug-07,6-Aug-08,363,6-Feb-08,1528.5,50.1147541,4.176229508,"Calf likely weaned before TOD's birth, but resumed after TOD's quick death! TAZ was independent in 2006, resumed nursing in 2007 and weaned 2008.",,,,
N,,E,N,WHALE BIGHT,TUK,TUK,TOODALOO,TOD,n,d,,,,n,,,9-Nov-06,,IA SR,,29/10/2006,17,DayEstimate,InfantFirstSight,,IA SR,19-Oct-06,0.05,0.03,BH SR,8-Nov-06,tiny baby,IA SR,9-Nov-06,IA SR,9-Nov-06,IA SR,25-May-07,EK,15/02/2007,0.3,197,99,MonthEstimate,Midpoint,,"TOODALOO very tiny, probably died quick cause TAZ resumed BP by 2007.  Looks like an ""accidental pregnancy.""",EK,,,,,,,,,,,,,,,,
N,,E,N,WHALE BIGHT,TUK,TUK,ROLL,RLL,n,d,,,,n,,,,,,,01/10/2009,14,WeekEstimate,InfantFirstSight,,MAS,14-Aug-08,1.22,0.09,MAS,4-Nov-09,calf estimated to be 1-2 months old,MAS,2-Nov-10,EK,2-Nov-10,EK,28-May-11,EMP,13/02/2011,1.371,207,104,MonthEstimate,Midpoint,,TUK sighted without RLL in 2011 and was with males in May 2011 ,SAS,,,,,,,,,,,,,,,,
N,,E,N,WHALE BIGHT,TUK,TUK,TUXEDO,TUX,y,y,,,,l,y,,,18-Sep-15,,EK,01/03/2014,9,MonthEstimate,InfantFirstSight,,JM,23-Nov-13,0.79,0.53,EK JM,9-Sep-14,estimated 6 months,MMW,18-Sep-15,EK,,,23-Apr-16,VF,,,,,,,,,,MonthEstimate,DefaultDate,,JM,18-Sep-15,23-Apr-16,218,15-Apr-16,776,25.44262295,2.120218579,TUX seen multiple times without TUK; made it to 2nd bday and weaning but possibly orphaned,,,,
